0	135
2	79
4	84
6	105
8	102
10	116
12	109
14	124
16	87
18	86
20	56
22	30
24	23
26	23
28	22
30	22
32	21
34	22
36	23
38	32
40	44
42	52
44	52
46	52
48	49
50	40
52	49
54	111
56	154
58	159
60	160
62	162
64	150
66	162
68	157
70	154
72	143
74	124
76	130
78	123
80	155
82	162
84	162
86	162
88	161
90	162
92	162
94	162
96	162
98	162
100	162
102	162
104	162
106	160
108	161
110	161
112	156
114	81
116	47
118	47
120	114
122	157
124	50
126	45
128	46
130	48
132	160
134	161
136	114
138	120
140	142
142	150
144	161
146	161
148	161
150	160
152	161
154	162
156	103
158	39
160	61
162	67
164	63
166	83
168	96
170	140
172	148
174	163
176	163
178	162
180	162
END
